7.08168,43.6008
7.08421,43.6258
7.09271,43.603
7.05124,43.5964
7.06769,43.5939
7.09721,43.6187
7.06537,43.6214
7.05196,43.6129
7.05121,43.6158
7.09999,43.6143
7.06183,43.6055
7.08265,43.5998
7.07241,43.6099
7.08524,43.6176
7.07754,43.6087
7.05474,43.6056
7.09981,43.6061
7.08596,43.5928
7.0989,43.6198
7.10162,43.5929
7.07343,43.6019
7.0817,43.601
7.08153,43.6118
7.10162,43.6195
7.06275,43.6141
7.07624,43.5947
7.06757,43.5951
7.09221,43.6187
7.08609,43.6137
7.09853,43.6243
7.09706,43.6214
7.07571,43.6178
7.10126,43.6258
7.0957,43.624
7.05294,43.6049
7.08734,43.5997
7.05915,43.6103
7.0782,43.6164
7.07659,43.609
7.08288,43.6125
7.06052,43.6282
7.05902,43.599
7.06329,43.6124
7.06555,43.6056
7.06346,43.599
7.10188,43.6165
7.08121,43.6
7.09823,43.6279
7.07018,43.6207
7.05393,43.6199
7.07914,43.618
7.06119,43.5963
7.06868,43.5989
7.05545,43.6101
7.07936,43.6119
7.09004,43.5985
7.07765,43.6049
7.05912,43.6115
7.09304,43.6067
7.05193,43.5984
7.08926,43.6173
7.07777,43.5992
7.0743,43.5969
7.08502,43.6087
7.0529,43.6278
7.09711,43.6196
7.09631,43.6179
7.05277,43.6013
7.08803,43.5969
7.05816,43.6273
7.08159,43.6036
7.07768,43.6078
7.05366,43.5935
7.09525,43.6031
7.10269,43.6019
7.08089,43.5939
7.0865,43.6019
7.06508,43.6222
7.09049,43.597
7.06672,43.5987
7.08981,43.6047
7.0547,43.6262
7.07389,43.5963
7.08808,43.6252
7.08112,43.6003
7.06745,43.6219
7.08065,43.5998
7.06482,43.6226
7.0779,43.6155
7.08679,43.6249
7.05637,43.622
7.07449,43.6187
7.05656,43.6274
7.05525,43.5948
7.055,43.6044
7.07037,43.6153
7.09196,43.5982
7.07557,43.6092
7.05499,43.6065
7.08912,43.6107
7.05442,43.6195
7.05276,43.6144
7.07262,43.5933
7.0542,43.6038
7.05845,43.6233
7.08101,43.6074
7.07275,43.594
7.05507,43.5936
7.08256,43.6173
7.09956,43.6042
7.07053,43.6005
7.08709,43.6208
7.06831,43.6247
7.05348,43.6253
7.10106,43.6079
7.07814,43.6282
